"sfGFP_Sens_molecules","mCherry_Sens_molecules","genotype"
54.19,75.34,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
75.66,81.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
99.66,85.45,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
97.05,258.86,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
130.52,219.14,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
19.09,82.41,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
197.56,485.81,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
10.55,6.71,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
58.47,109.85,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
132.58,181.54,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
66.91,65.6,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
20.47,49.52,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
24.53,9.32,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
11.17,64.55,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
8.26,5.66,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
18.1,5.11,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
95.01,4.85,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
9.02,224.96,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
5.13,45.9,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
4.55,2.77,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
15.69,127.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
12.8,119.11,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
20.34,1.67,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
28.56,12.29,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
50.89,0.9,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
114.98,79.73,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
517.61,633.32,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
663.39,791.6,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
88.23,68.73,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
110.36,35.14,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
119.59,255.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
461.04,513.26,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
395.37,171.61,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
359.73,241.05,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
303.36,309.08,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
387.91,190.86,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
341.06,578.39,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
268.83,4.8,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
484.94,313.23,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
26.89,59.68,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
297.28,276.36,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
69.8,145.48,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
280.3,338.35,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
244.46,406.49,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
362.44,402.12,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
929.95,479.06,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
272.33,134.9,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
317.14,363.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2679.72,2830.47,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
288.66,304.54,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
401.13,530.79,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
668.4,1102.3,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
409.63,613.71,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
2301.47,1835.32,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1979.94,2164.47,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
406.75,646.19,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
682.29,857.73,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1746.93,2077.26,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
991.37,840.62,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1196.8,1679.64,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
352.71,156.24,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1077.97,1165.16,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
499.3,732.87,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
894.31,1691.33,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
948.21,998.24,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
282.26,341.39,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
683.63,1195.81,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1146.35,1359.52,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1270.26,812.79,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1333.12,2315.1,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
355.83,659.12,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
392.72,754.84,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
374.3,342.11,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
633.52,464.16,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
791.65,1033.55,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
109.11,74.26,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
214.89,366.61,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
20.86,29.76,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
319.53,289.66,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
51.36,52.38,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
33.19,118.76,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
54.47,2.03,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
232.92,364.79,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
28.89,154.25,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
193.86,188.38,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
371.25,476.71,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
268.47,589.37,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
1106.64,1224.26,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
508.49,555.86,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
29.47,50.64,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
553.25,484.89,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
25.44,37.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
327.92,328.53,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
784.09,854.36,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
46.82,66.52,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
239.47,11.74,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
908.41,714.66,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
35.24,147.25,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
58.51,40.65,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
27.59,32.5,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
287.05,535.33,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
661.86,896.38,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
235.23,244.33,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
140.5,279.92,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
48.54,141.52,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
37.63,331.81,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
254.51,409.32,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
123.87,14.88,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
352.14,289.19,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
32.77,42.88,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
30.35,75.73,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
14.58,30.07,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
925.77,864.81,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
271.94,215.36,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
19.49,17.21,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
935.57,1128.2,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
67.61,52.04,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
624.45,467.98,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
65.95,159.71,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
792.99,503.95,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
857.98,1106.75,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
349.51,964.35,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
55.38,64.08,"sfGFP_Sens_mutant/ mCherry_Sens_mutant"
