"Mean_Protein_molecules","Uncorrected_Fano_factor","genotype"
45.81,54.79,"Allelic tag 22A3 wildtype"
46.21,46.54,"Allelic tag 22A3 wildtype"
46.57,55.82,"Allelic tag 22A3 wildtype"
46.97,50.36,"Allelic tag 22A3 wildtype"
47.38,65.66,"Allelic tag 22A3 wildtype"
47.81,52.63,"Allelic tag 22A3 wildtype"
48.21,45.48,"Allelic tag 22A3 wildtype"
48.66,83.31,"Allelic tag 22A3 wildtype"
49.07,54.23,"Allelic tag 22A3 wildtype"
49.48,47.45,"Allelic tag 22A3 wildtype"
49.92,63.46,"Allelic tag 22A3 wildtype"
50.34,51.28,"Allelic tag 22A3 wildtype"
50.79,47.18,"Allelic tag 22A3 wildtype"
51.18,35.88,"Allelic tag 22A3 wildtype"
51.65,48.25,"Allelic tag 22A3 wildtype"
52.12,57.71,"Allelic tag 22A3 wildtype"
52.53,57.36,"Allelic tag 22A3 wildtype"
52.98,44.5,"Allelic tag 22A3 wildtype"
53.44,46.73,"Allelic tag 22A3 wildtype"
53.97,59.83,"Allelic tag 22A3 wildtype"
54.38,53.48,"Allelic tag 22A3 wildtype"
54.84,58.33,"Allelic tag 22A3 wildtype"
55.31,38.56,"Allelic tag 22A3 wildtype"
55.77,45.23,"Allelic tag 22A3 wildtype"
56.27,86.59,"Allelic tag 22A3 wildtype"
56.72,46.34,"Allelic tag 22A3 wildtype"
57.25,40.94,"Allelic tag 22A3 wildtype"
57.78,43.83,"Allelic tag 22A3 wildtype"
58.25,46.39,"Allelic tag 22A3 wildtype"
58.75,46.5,"Allelic tag 22A3 wildtype"
59.24,59.91,"Allelic tag 22A3 wildtype"
59.79,32.87,"Allelic tag 22A3 wildtype"
60.29,45.8,"Allelic tag 22A3 wildtype"
60.77,40.35,"Allelic tag 22A3 wildtype"
61.34,48.05,"Allelic tag 22A3 wildtype"
61.9,82.61,"Allelic tag 22A3 wildtype"
62.42,74.6,"Allelic tag 22A3 wildtype"
62.94,55.87,"Allelic tag 22A3 wildtype"
63.43,46.48,"Allelic tag 22A3 wildtype"
63.99,49.34,"Allelic tag 22A3 wildtype"
64.56,49.65,"Allelic tag 22A3 wildtype"
65.12,56.53,"Allelic tag 22A3 wildtype"
65.7,47.1,"Allelic tag 22A3 wildtype"
66.2,41.37,"Allelic tag 22A3 wildtype"
66.83,46.61,"Allelic tag 22A3 wildtype"
67.34,49.89,"Allelic tag 22A3 wildtype"
67.94,57.12,"Allelic tag 22A3 wildtype"
68.58,55.77,"Allelic tag 22A3 wildtype"
69.14,44.01,"Allelic tag 22A3 wildtype"
69.73,62.24,"Allelic tag 22A3 wildtype"
70.37,55.11,"Allelic tag 22A3 wildtype"
70.95,55.73,"Allelic tag 22A3 wildtype"
71.55,48.39,"Allelic tag 22A3 wildtype"
72.15,36.28,"Allelic tag 22A3 wildtype"
72.84,44.81,"Allelic tag 22A3 wildtype"
73.44,45.02,"Allelic tag 22A3 wildtype"
74.08,46.17,"Allelic tag 22A3 wildtype"
74.72,60.04,"Allelic tag 22A3 wildtype"
75.33,53.83,"Allelic tag 22A3 wildtype"
75.98,46.02,"Allelic tag 22A3 wildtype"
76.71,39.8,"Allelic tag 22A3 wildtype"
77.3,31.85,"Allelic tag 22A3 wildtype"
77.97,51.88,"Allelic tag 22A3 wildtype"
78.62,49.82,"Allelic tag 22A3 wildtype"
79.29,57.56,"Allelic tag 22A3 wildtype"
80.04,41.62,"Allelic tag 22A3 wildtype"
80.71,56.29,"Allelic tag 22A3 wildtype"
81.4,45.38,"Allelic tag 22A3 wildtype"
82.09,52.91,"Allelic tag 22A3 wildtype"
82.8,40.99,"Allelic tag 22A3 wildtype"
83.55,50.73,"Allelic tag 22A3 wildtype"
84.24,48.47,"Allelic tag 22A3 wildtype"
84.97,45.27,"Allelic tag 22A3 wildtype"
85.71,47.72,"Allelic tag 22A3 wildtype"
86.46,42.06,"Allelic tag 22A3 wildtype"
87.2,65.26,"Allelic tag 22A3 wildtype"
87.94,43.01,"Allelic tag 22A3 wildtype"
88.67,49.09,"Allelic tag 22A3 wildtype"
89.45,51.47,"Allelic tag 22A3 wildtype"
90.26,38.4,"Allelic tag 22A3 wildtype"
91.02,43.48,"Allelic tag 22A3 wildtype"
91.81,51.21,"Allelic tag 22A3 wildtype"
92.57,34.23,"Allelic tag 22A3 wildtype"
93.4,52.86,"Allelic tag 22A3 wildtype"
94.16,42.31,"Allelic tag 22A3 wildtype"
94.97,47.27,"Allelic tag 22A3 wildtype"
95.77,49.22,"Allelic tag 22A3 wildtype"
96.65,38.59,"Allelic tag 22A3 wildtype"
97.48,47.03,"Allelic tag 22A3 wildtype"
98.3,54.23,"Allelic tag 22A3 wildtype"
99.19,39.43,"Allelic tag 22A3 wildtype"
100.02,48.75,"Allelic tag 22A3 wildtype"
100.85,43.43,"Allelic tag 22A3 wildtype"
101.75,47.55,"Allelic tag 22A3 wildtype"
102.62,40.65,"Allelic tag 22A3 wildtype"
103.48,52.87,"Allelic tag 22A3 wildtype"
104.39,56.61,"Allelic tag 22A3 wildtype"
105.28,37.94,"Allelic tag 22A3 wildtype"
106.22,43.14,"Allelic tag 22A3 wildtype"
107.16,47.56,"Allelic tag 22A3 wildtype"
108,41.2,"Allelic tag 22A3 wildtype"
109,46.68,"Allelic tag 22A3 wildtype"
109.96,53.03,"Allelic tag 22A3 wildtype"
110.85,34.74,"Allelic tag 22A3 wildtype"
111.8,53,"Allelic tag 22A3 wildtype"
112.77,51.28,"Allelic tag 22A3 wildtype"
113.83,41.95,"Allelic tag 22A3 wildtype"
114.76,60.64,"Allelic tag 22A3 wildtype"
115.72,40.97,"Allelic tag 22A3 wildtype"
116.7,44.53,"Allelic tag 22A3 wildtype"
117.75,46.11,"Allelic tag 22A3 wildtype"
118.77,32.69,"Allelic tag 22A3 wildtype"
119.79,31.75,"Allelic tag 22A3 wildtype"
120.84,49.53,"Allelic tag 22A3 wildtype"
121.83,59.38,"Allelic tag 22A3 wildtype"
122.95,58.09,"Allelic tag 22A3 wildtype"
123.92,39.38,"Allelic tag 22A3 wildtype"
125,36.06,"Allelic tag 22A3 wildtype"
126.13,42.31,"Allelic tag 22A3 wildtype"
127.19,49.45,"Allelic tag 22A3 wildtype"
128.34,52.44,"Allelic tag 22A3 wildtype"
129.39,47.75,"Allelic tag 22A3 wildtype"
130.52,37.76,"Allelic tag 22A3 wildtype"
131.66,38.03,"Allelic tag 22A3 wildtype"
132.81,53.51,"Allelic tag 22A3 wildtype"
