"Mean_Protein_molecules","Fano Factor","genotype"
248.47,35.78,"Allelic tag 22A3 mutant"
250.57,37.31,"Allelic tag 22A3 mutant"
252.8,39.01,"Allelic tag 22A3 mutant"
254.88,31.56,"Allelic tag 22A3 mutant"
257.08,35.74,"Allelic tag 22A3 mutant"
259.31,40.44,"Allelic tag 22A3 mutant"
261.62,40.82,"Allelic tag 22A3 mutant"
263.81,36.25,"Allelic tag 22A3 mutant"
266.2,34.59,"Allelic tag 22A3 mutant"
268.4,37.26,"Allelic tag 22A3 mutant"
270.66,42.32,"Allelic tag 22A3 mutant"
273.02,28.3,"Allelic tag 22A3 mutant"
275.37,34.06,"Allelic tag 22A3 mutant"
277.81,27.96,"Allelic tag 22A3 mutant"
280.19,36.14,"Allelic tag 22A3 mutant"
282.62,35.76,"Allelic tag 22A3 mutant"
285.06,36.04,"Allelic tag 22A3 mutant"
287.44,33.3,"Allelic tag 22A3 mutant"
289.97,40.41,"Allelic tag 22A3 mutant"
292.46,29.3,"Allelic tag 22A3 mutant"
294.96,31.3,"Allelic tag 22A3 mutant"
297.52,36.04,"Allelic tag 22A3 mutant"
300.18,39.12,"Allelic tag 22A3 mutant"
302.72,37.01,"Allelic tag 22A3 mutant"
305.29,36.64,"Allelic tag 22A3 mutant"
307.95,34.95,"Allelic tag 22A3 mutant"
310.57,35.87,"Allelic tag 22A3 mutant"
313.23,25.19,"Allelic tag 22A3 mutant"
315.89,22.66,"Allelic tag 22A3 mutant"
318.62,35.98,"Allelic tag 22A3 mutant"
321.42,28.14,"Allelic tag 22A3 mutant"
324.26,32.4,"Allelic tag 22A3 mutant"
327.08,27.49,"Allelic tag 22A3 mutant"
329.84,24.13,"Allelic tag 22A3 mutant"
332.7,30.66,"Allelic tag 22A3 mutant"
335.52,34.66,"Allelic tag 22A3 mutant"
338.5,30.97,"Allelic tag 22A3 mutant"
341.25,34.55,"Allelic tag 22A3 mutant"
344.22,28.56,"Allelic tag 22A3 mutant"
347.24,24.9,"Allelic tag 22A3 mutant"
350.18,20.7,"Allelic tag 22A3 mutant"
353.23,32.87,"Allelic tag 22A3 mutant"
356.23,36.79,"Allelic tag 22A3 mutant"
359.44,30.35,"Allelic tag 22A3 mutant"
362.53,26.49,"Allelic tag 22A3 mutant"
365.73,33.22,"Allelic tag 22A3 mutant"
368.71,40.45,"Allelic tag 22A3 mutant"
371.96,28.82,"Allelic tag 22A3 mutant"
376.43,29.96,"Allelic tag 22A3 mutant"
383.62,31.64,"Allelic tag 22A3 mutant"
392.15,32.72,"Allelic tag 22A3 mutant"
400.96,31.21,"Allelic tag 22A3 mutant"
410.27,35.45,"Allelic tag 22A3 mutant"
419.35,27.05,"Allelic tag 22A3 mutant"
428.96,32.47,"Allelic tag 22A3 mutant"
438.53,30.58,"Allelic tag 22A3 mutant"
448.51,32.24,"Allelic tag 22A3 mutant"
458.55,32.04,"Allelic tag 22A3 mutant"
468.97,30.93,"Allelic tag 22A3 mutant"
479.5,35.28,"Allelic tag 22A3 mutant"
490.4,31.45,"Allelic tag 22A3 mutant"
501.36,33.44,"Allelic tag 22A3 mutant"
512.69,33.57,"Allelic tag 22A3 mutant"
524.15,28.12,"Allelic tag 22A3 mutant"
536.19,33.29,"Allelic tag 22A3 mutant"
548.16,33.78,"Allelic tag 22A3 mutant"
560.45,37.07,"Allelic tag 22A3 mutant"
573.13,40.62,"Allelic tag 22A3 mutant"
585.85,32.18,"Allelic tag 22A3 mutant"
599.43,29.65,"Allelic tag 22A3 mutant"
612.94,33.71,"Allelic tag 22A3 mutant"
626.55,30.17,"Allelic tag 22A3 mutant"
640.59,35.17,"Allelic tag 22A3 mutant"
655.07,30.44,"Allelic tag 22A3 mutant"
669.7,37.11,"Allelic tag 22A3 mutant"
684.91,37.93,"Allelic tag 22A3 mutant"
700.65,32.93,"Allelic tag 22A3 mutant"
716.48,38.84,"Allelic tag 22A3 mutant"
732.56,39.58,"Allelic tag 22A3 mutant"
749.02,41.26,"Allelic tag 22A3 mutant"
765.98,44.3,"Allelic tag 22A3 mutant"
783.2,40.27,"Allelic tag 22A3 mutant"
800.63,39.31,"Allelic tag 22A3 mutant"
818.64,36.45,"Allelic tag 22A3 mutant"
837.19,40.4,"Allelic tag 22A3 mutant"
856.08,38.01,"Allelic tag 22A3 mutant"
875.6,38.98,"Allelic tag 22A3 mutant"
895.47,41.66,"Allelic tag 22A3 mutant"
915.68,39.59,"Allelic tag 22A3 mutant"
935.94,45.25,"Allelic tag 22A3 mutant"
957.28,41.15,"Allelic tag 22A3 mutant"
979.01,39.78,"Allelic tag 22A3 mutant"
