"Mean_Protein_molecules","Fano_factor","genotype"
82.26,88.91,"Allelic tag 22A3/57F5 mutant"
84.04,90.6,"Allelic tag 22A3/57F5 mutant"
86.22,86.45,"Allelic tag 22A3/57F5 mutant"
88,76.64,"Allelic tag 22A3/57F5 mutant"
90.03,64.81,"Allelic tag 22A3/57F5 mutant"
92.05,98.47,"Allelic tag 22A3/57F5 mutant"
93.98,80.94,"Allelic tag 22A3/57F5 mutant"
96.13,98.22,"Allelic tag 22A3/57F5 mutant"
98.35,81.06,"Allelic tag 22A3/57F5 mutant"
100.7,60.18,"Allelic tag 22A3/57F5 mutant"
103.06,69.74,"Allelic tag 22A3/57F5 mutant"
105.27,51.31,"Allelic tag 22A3/57F5 mutant"
107.43,78.9,"Allelic tag 22A3/57F5 mutant"
109.98,52.03,"Allelic tag 22A3/57F5 mutant"
112.56,93.59,"Allelic tag 22A3/57F5 mutant"
115.08,42.65,"Allelic tag 22A3/57F5 mutant"
117.66,107.81,"Allelic tag 22A3/57F5 mutant"
120.23,65.49,"Allelic tag 22A3/57F5 mutant"
122.89,43.02,"Allelic tag 22A3/57F5 mutant"
125.87,42.41,"Allelic tag 22A3/57F5 mutant"
128.59,56.44,"Allelic tag 22A3/57F5 mutant"
131.57,55.81,"Allelic tag 22A3/57F5 mutant"
134.3,47.74,"Allelic tag 22A3/57F5 mutant"
137.45,43.44,"Allelic tag 22A3/57F5 mutant"
140.61,66.63,"Allelic tag 22A3/57F5 mutant"
143.99,66.29,"Allelic tag 22A3/57F5 mutant"
146.92,55.09,"Allelic tag 22A3/57F5 mutant"
150.4,36.88,"Allelic tag 22A3/57F5 mutant"
153.53,44.86,"Allelic tag 22A3/57F5 mutant"
156.95,52,"Allelic tag 22A3/57F5 mutant"
160.79,50.33,"Allelic tag 22A3/57F5 mutant"
164.39,42.11,"Allelic tag 22A3/57F5 mutant"
167.95,75.74,"Allelic tag 22A3/57F5 mutant"
171.63,23.73,"Allelic tag 22A3/57F5 mutant"
175.54,56,"Allelic tag 22A3/57F5 mutant"
179.3,55.4,"Allelic tag 22A3/57F5 mutant"
183.75,38.97,"Allelic tag 22A3/57F5 mutant"
187.92,20.68,"Allelic tag 22A3/57F5 mutant"
192.14,29.95,"Allelic tag 22A3/57F5 mutant"
196.66,35.82,"Allelic tag 22A3/57F5 mutant"
200.95,35.03,"Allelic tag 22A3/57F5 mutant"
205.79,27.64,"Allelic tag 22A3/57F5 mutant"
210.14,47.91,"Allelic tag 22A3/57F5 mutant"
214.77,43.62,"Allelic tag 22A3/57F5 mutant"
219.69,42.26,"Allelic tag 22A3/57F5 mutant"
224.65,44.95,"Allelic tag 22A3/57F5 mutant"
229.59,43.79,"Allelic tag 22A3/57F5 mutant"
234.87,29.02,"Allelic tag 22A3/57F5 mutant"
240.25,42.01,"Allelic tag 22A3/57F5 mutant"
245.52,31.98,"Allelic tag 22A3/57F5 mutant"
251.29,40.18,"Allelic tag 22A3/57F5 mutant"
257.09,32.41,"Allelic tag 22A3/57F5 mutant"
262.4,42.8,"Allelic tag 22A3/57F5 mutant"
268.55,63.22,"Allelic tag 22A3/57F5 mutant"
274.4,41.03,"Allelic tag 22A3/57F5 mutant"
280.83,32.66,"Allelic tag 22A3/57F5 mutant"
287.02,55.7,"Allelic tag 22A3/57F5 mutant"
293.58,36.94,"Allelic tag 22A3/57F5 mutant"
299.8,40.93,"Allelic tag 22A3/57F5 mutant"
306.84,35.84,"Allelic tag 22A3/57F5 mutant"
313.61,32.29,"Allelic tag 22A3/57F5 mutant"
321.02,47.46,"Allelic tag 22A3/57F5 mutant"
328.11,22.46,"Allelic tag 22A3/57F5 mutant"
335.83,34.14,"Allelic tag 22A3/57F5 mutant"
343.19,35.67,"Allelic tag 22A3/57F5 mutant"
350.88,44.58,"Allelic tag 22A3/57F5 mutant"
358.4,33.41,"Allelic tag 22A3/57F5 mutant"
366.61,28.27,"Allelic tag 22A3/57F5 mutant"
375.44,56.89,"Allelic tag 22A3/57F5 mutant"
383.64,51.43,"Allelic tag 22A3/57F5 mutant"
392.48,67.17,"Allelic tag 22A3/57F5 mutant"
401.12,34.72,"Allelic tag 22A3/57F5 mutant"
410.15,28.57,"Allelic tag 22A3/57F5 mutant"
418.73,28.63,"Allelic tag 22A3/57F5 mutant"
428.96,34.17,"Allelic tag 22A3/57F5 mutant"
438.23,31.71,"Allelic tag 22A3/57F5 mutant"
448.1,32.29,"Allelic tag 22A3/57F5 mutant"
458.35,35.59,"Allelic tag 22A3/57F5 mutant"
469.36,30.95,"Allelic tag 22A3/57F5 mutant"
479.32,18.78,"Allelic tag 22A3/57F5 mutant"
490.36,54.45,"Allelic tag 22A3/57F5 mutant"
501.2,34.26,"Allelic tag 22A3/57F5 mutant"
512.79,25.01,"Allelic tag 22A3/57F5 mutant"
524.24,48.8,"Allelic tag 22A3/57F5 mutant"
535.89,49.04,"Allelic tag 22A3/57F5 mutant"
548.19,27.87,"Allelic tag 22A3/57F5 mutant"
560.38,33.79,"Allelic tag 22A3/57F5 mutant"
572.93,34.23,"Allelic tag 22A3/57F5 mutant"
585.98,34.16,"Allelic tag 22A3/57F5 mutant"
598.85,38.8,"Allelic tag 22A3/57F5 mutant"
612.58,61.61,"Allelic tag 22A3/57F5 mutant"
626.23,47.41,"Allelic tag 22A3/57F5 mutant"
640.85,42.79,"Allelic tag 22A3/57F5 mutant"
655.27,29.49,"Allelic tag 22A3/57F5 mutant"
670.2,51.78,"Allelic tag 22A3/57F5 mutant"
684.9,45.05,"Allelic tag 22A3/57F5 mutant"
700.53,29.76,"Allelic tag 22A3/57F5 mutant"
716.5,62.32,"Allelic tag 22A3/57F5 mutant"
732.98,67.41,"Allelic tag 22A3/57F5 mutant"
749.43,48.67,"Allelic tag 22A3/57F5 mutant"
766.61,67.13,"Allelic tag 22A3/57F5 mutant"
782.64,37.27,"Allelic tag 22A3/57F5 mutant"
801.16,38.73,"Allelic tag 22A3/57F5 mutant"
819.32,46.35,"Allelic tag 22A3/57F5 mutant"
837.32,51.01,"Allelic tag 22A3/57F5 mutant"
856.16,56.79,"Allelic tag 22A3/57F5 mutant"
875.01,54.67,"Allelic tag 22A3/57F5 mutant"
894.15,46.34,"Allelic tag 22A3/57F5 mutant"
916.02,42.31,"Allelic tag 22A3/57F5 mutant"
935.7,52.97,"Allelic tag 22A3/57F5 mutant"
957.35,70.64,"Allelic tag 22A3/57F5 mutant"
979.23,54.67,"Allelic tag 22A3/57F5 mutant"
1001.76,46.49,"Allelic tag 22A3/57F5 mutant"
1023.74,66.11,"Allelic tag 22A3/57F5 mutant"
1046.06,62.77,"Allelic tag 22A3/57F5 mutant"
1069.48,44.8,"Allelic tag 22A3/57F5 mutant"
1094.85,49.71,"Allelic tag 22A3/57F5 mutant"
1118.65,51.18,"Allelic tag 22A3/57F5 mutant"
1144.96,43.85,"Allelic tag 22A3/57F5 mutant"
1168.95,64.22,"Allelic tag 22A3/57F5 mutant"
1195.48,95.29,"Allelic tag 22A3/57F5 mutant"
1223.16,45.94,"Allelic tag 22A3/57F5 mutant"
1251.81,84.28,"Allelic tag 22A3/57F5 mutant"
1278.92,74.07,"Allelic tag 22A3/57F5 mutant"
1308.57,81.52,"Allelic tag 22A3/57F5 mutant"
1338.9,53.53,"Allelic tag 22A3/57F5 mutant"
1367.28,72.71,"Allelic tag 22A3/57F5 mutant"
1398.17,93.37,"Allelic tag 22A3/57F5 mutant"
1430.5,90.05,"Allelic tag 22A3/57F5 mutant"
1463.12,56.32,"Allelic tag 22A3/57F5 mutant"
1494.45,86.7,"Allelic tag 22A3/57F5 mutant"
